decade, abiealba, fagusilv, elevation, area
1, 1623.38, 2071.38, 825, 0.8125
1, 1977.33, 1741.33, 826, 0.75
1, 1504, 2029.71, 827, 0.4375
1, 2320.94, 1561.41, 828, 1.0625
1, 1817.6, 1783.47, 829, 0.9375
1, 1879.27, 1806.55, 830, 0.6875
1, 2220.8, 1468.8, 831, 0.9375
1, 1930, 1692, 832, 0.5
1, 2340, 1626, 833, 0.5
1, 1472, 2312.89, 834, 0.5625
1, 1785.6, 1715.2, 835, 0.625
1, 2105.85, 1656.62, 836, 0.8125
1, 2240, 1410.29, 837, 0.4375
1, 1950.4, 1734.4, 838, 0.625
1, 1938.46, 1805.54, 839, 0.8125
1, 1880, 1993.33, 840, 0.75
1, 1858, 1857, 841, 1
1, 2396.31, 1542.15, 842, 0.8125
1, 2318.55, 1556.36, 843, 0.6875
1, 2332.8, 1641.6, 844, 0.625
1, 1618.67, 1998.67, 845, 0.75
1, 2370, 1294, 846, 0.5
1, 2060.8, 1785.6, 847, 0.625
1, 2078.77, 1699.69, 848, 0.8125
1, 1866.67, 1969.33, 849, 0.75
1, 1720.47, 2030.12, 850, 1.0625
1, 2288, 1384, 851, 0.375
1, 2217.33, 1385.33, 852, 0.75
1, 2156, 1432, 853, 0.5
1, 2316, 1277.33, 854, 0.75
1, 1909.82, 1780.36, 855, 0.6875
1, 2581.33, 1270.67, 856, 0.75
1, 1635.76, 1795.76, 857, 1.0625
1, 1960, 1856, 858, 0.625
1, 2020, 1682, 859, 0.5
1, 2306.67, 1366.67, 860, 0.75
1, 1676.57, 1950.86, 861, 0.875
1, 1667.2, 1914.4, 862, 1.25
1, 2233.85, 1511.38, 863, 0.8125
1, 2386.91, 1495.27, 864, 0.6875
1, 1815.62, 1814.86, 865, 1.3125
1, 1968, 1736, 866, 0.875
1, 2249.14, 1481.14, 867, 1.3125
1, 1696.94, 1853.18, 868, 1.0625
1, 2029.54, 1704.62, 869, 0.8125
1, 1674, 1703, 870, 1
1, 2202.35, 1207.53, 871, 1.0625
1, 2316.24, 1223.53, 872, 1.0625
1, 2002.82, 1335.53, 873, 1.0625
1, 1964.19, 1525.33, 874, 1.3125
1, 1795.76, 1619.76, 875, 1.0625
1, 1984, 1485.18, 876, 1.0625
1, 2088, 1424, 877, 0.875
1, 2277.33, 1308.8, 878, 0.9375
